index,Name,Partei,Bildungsgrad,Abschluss,Vormalige Ämter,Beruf
170,"Grund, Manfred",Union,Masterabschluss,Mittlere Reife,Kein politisches Amt,Verwaltung
171,"Grundl, Erhard",Die Grünen,Bachelorabschluss,Abitur,Landtag,Kultur
172,"Grundmann, Oliver",Union,Staatsexamen,Abitur,Kommunales Führungsamt,Privatwirtschaft/Management
173,"Gröhe, Hermann",Union,Staatsexamen,Abitur,Parteiamt auf Bundes- oder Landesebene,Rechtsanwalt/Kanzlei
174,"Gröhler, Klaus-Dieter",Union,Staatsexamen,Abitur,Landtag,Politik
175,Grötsch,SPD,Berufsausbildung,Mittlere Reife,Kommunales Führungsamt,Polizei/Strafverfolgung*Staatsanwalt
176,"Grübel, Markus",Union,Duales Studium,Abitur,Kommunale Räte,Verwaltung
177,"Grütters, Monika",Union,Masterabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,PR/Werbung
178,"Gutting, Olav",Union,Staatsexamen,Abitur,Kein politisches Amt,Rechtsanwalt/Kanzlei
179,"Gädechens, Ingo",Union,Berufsausbildung,Mittlere Reife,Parteiamt auf Bundes- oder Landesebene,Militär
180,"Göring-Eckardt, Katrin",Die Grünen,Bachelorabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,Politik
181,"Güntzler, Fritz",Union,Masterabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,Steuerberatung und Wirtschaftsprüfung
182,"Haase, Christian",Union,Duales Studium,Mittlere Reife,Kommunales Führungsamt,Politik
183,"Hacker, Thomas",FDP,Masterabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,Steuerberatung und Wirtschaftsprüfung
184,Hagedorn,SPD,Masterabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,Soziale Arbeit und Kinderbetreuung
185,Hagl-Kehl,SPD,Staatsexamen,Abitur,Kommunales Führungsamt,Lehrer
186,"Hahn, Florian",Union,Bachelorabschluss,Abitur,Kommunale Räte,Politik
187,"Hajduk, Anja",Die Grünen,Masterabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,Soziale Arbeit und Kinderbetreuung
188,Hakverdi,SPD,Staatsexamen,Abitur,Kommunale Räte,Rechtsanwalt/Kanzlei
189,"Hampel, Armin-Paulus",AfD,Berufsausbildung,Abitur,Parteiamt auf Bundes- oder Landesebene,Militär
190,"Harder-Kühnel, Mariana Iris",AfD,Staatsexamen,Abitur,Führungsposition auf Landesebene,Steuerberatung und Wirtschaftsprüfung
191,"Hardt, Jürgen",Union,Masterabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,Politik
192,"Hartmann, Verena",AfD,Masterabschluss,Abitur,Kommunales Führungsamt,Verwaltung
